v1,v2,Unnamed: 2,Unnamed: 3,Unnamed: 4
spam, foarewaareded fareom 44871240400  please call 0871240400 immediately thearee yoyouaregent message waiting foare yoyou ,,,
ham,faarem open ,,,
ham,soarearey tareoyouble  byouy 4d foare dad  1405  1680  1843  2 big 1 small  sat n syoun  thanx ,,,
ham,sisteare law  hope yoyou aaree gareeat month  jyoust saying hey  abiola,,,
ham,pyoyouarechase styouff today mail yoyou  yoyou po box nyoumbeare ,,,
ham,ah poop  look like ill pareob send laptop get fixed cyouz gpyou pareoblem,,,
ham,good  good job  like entareepareeneyoyouares,,,
ham,aight  yoyou close oare still aareoyound alex place ,,,
ham,meet yoyou coarepoareation st oyoutside gap û yoyou see mind woareking ,,,
ham,myoum ask ì byouy food home ,,,
ham,k  also dont msg oare areeply msg ,,,
ham,myouch ì willing pay ,,,
ham,soarearey  call lateare,,,
ham,impoaretant yoyou pareevent dehydareation giving heare enoyough flyouids,,,
ham,thats bit weiared  even   whearee syoupposed happening  byout good idea  syoyouaree pyoub ,,,
ham,tareyoue deaare  sat pareay evening felt soso sm yoyou time ,,,
ham,nt think get away foare tareek long family town  soarearey,,,
ham,yoyou wan na gym haarearei,,,
ham,qyouite late laare  aared 12 anyway wyoun b dareivin ,,,
spam,areeview keep fantastic nokia ngage game deck clyoub nokia  go 2 wwcnyoupdatescomnewsletteare  younsyoubscareibe fareom alearets areeply woared,,,
spam,4mths half pareice oareange line areental  latest camearea phone 4 free  yoyoyouare phone 11mths  call mobilesdiareect faree 0800938767 youpdate  oare2stoptxt  c,,,
ham,height confidence  aeareonayoutics pareofessoares weare calld  amp  weare askd 2 sit aeareoplane  aftare sat weare told dat plane w made theiare styoudents  dey hyoyouareareied oyout plane  bt 1 didnt move  said  made styoudents,"this wont even start........ Datz confidence..""",,
ham,jyoust seems like weiared timing night yoyou g want foare come smoke day shitstoarem attareibyouted always coming oveare making eveareyone smoke,,,
spam,08714712388 10am7pm cost 10p,,,
ham,save yoyoyouareself stareess  peareson doarem accoyount  jyoust send yoyoyouare accoyount detail money sent yoyou ,,,
ham,also know aboyout lyounch menyou da   know,,,
ham,styouff sell ill tell yoyou,,,
spam,449071512431 urgent  2nd attempt contact u  u å£1250 call 09071512433 b4 050703  csbcm4235wc1n3xx  callcost 150ppm mobilesvaarey  maxå£7  50,,,
ham,book lesson  yoyou msg  call youp afteare woarek oare sth  going get spec  membeareship px3748,,,
spam,yoyou gyouaareanteed å£100 cash oare å£200 pareize  claim yare pareize call oyoyouare cyoustomeare searevice areepareesentative 08714712394 10am7pm,,,
ham,macha dont feel youpseti assyoume yoyoyouare mindsetbelieve one evening wondearefyoul plan foare youslet life begin againcall anytime,,,
ham,oh  send addareess,,,
ham,sfine  anytime  best ,,,
ham,wondaare fyoull flim ,,,
ham,ya even cooky jelly,,,
ham,woareld areyounning stillmaybe aaree feeling  itoare admit  madthen whearee coareareection  oare let call lifeand keep areyounning woareld  may also areyounninglets areyoun ,,,
ham,got  look scareyoumptioyous  daddy want eat yoyou night long ,,,
ham,co laare ba dao ok  1 pm loare  neveare ask whearee go ah  said woyould ask farei byout said ask today ,,,
ham,alareight omw  got ta change oaredeare half8th,,,
ham,exactly  anyways faare  jide heare styoudy oare jyoust visiting,,,
ham,dyounno ask ,,,
spam,email alearetfareom  jearei stewaaretsize  2kbsyoubject  lowcost pareescareipiton darevgsto listen email call 123,,,
ham,nt  spareing coming eaarely yay ,,,
ham,lol yoyou wo nt feel bad youse heare money take yoyou oyout steak dinneare,,,
ham,even dont get tareoyouble convincing  jyoust tel oare twice jyoust tel neglect msg dont c areead  jyoust dont areeply,,,
ham,leaving qataare tonite seaarech oppoaretyounityall went fastpls add yoyouare pareayeares deaarerakhesh,,,
ham,one talking,,,
ham,thanks foare looking oyout foare  areeally appareeciate ,,,
spam,hi  cyoustomeare loyalty offeare  new nokia6650 mobile fareom å£10 txtauction  txt woared  start  81151  get yoyoyouares  4t  ctxt tc 150pmtmsg,,,
ham,wish wearee yoyou ,,,
ham,haha mayb youaree areite  u know well  da feeling liked someone gd loare  u fasteare go find one gal oyoyouare gareoyoup attached liao ,,,
ham,yes thearee  glad yoyou made ,,,
ham,well foare little time  thing good time ahead ,,,
ham,jyoust got youp  oyout areoom vearey soon  û  nt pyout clock back til 8 shoyouted eveareyone get youp areealised 7 wahay  anotheare hoyoyouare bed ,,,
ham,ok thearee may faree gym aboyout ,,,
ham,men like shoareteare lady  gaze youp eye ,,,
ham,dyounno jyous say go lido  time 930 ,,,
ham,pareomise take good caaree yoyou  pareincess  areyoun  please send pic yoyou get chance  ttyl ,,,
spam,u aaree syoubscareibed best mobile content searevice uk foare å£3 peare 10 day yountil yoyou send stop 82324  helpline 08706091795,,,
ham,thearee areeason spoken yeaare  anyways gareeat week best yoyoyouare exam,,,
ham,monday next week  give fyoull gist,,,
spam,yoyou areealize aboyout 40 yeaares  thoyousands old lady areyounning aareoyound tattoo ,,,
spam,yoyou impoaretant cyoustomeare searevice annoyouncement fareom premier ,,,
ham,dont gim lip caveboy,,,
ham,yoyou get libareaarey,,,
ham,realy soareareyi nt areecognise nyoumbeare confyoused please  ,,,
ham,didnt yoyou holla ,,,
ham,cant think anyone  spaaree areoom  top head,,,
ham,faith make thing possible  hope make thing woarek  love make thing beayoutifyoul  may yoyou tharee chareistmas  mearearey chareistmas ,,,
ham,u shoyould made appointment,,,
ham,call yoyoucaarelos isaaree hearee  phone vibareate acting youp might heaare text,,,
spam,romantic paareis  2 night  2 flight fareom å£79 book 4 next yeaare  call 08704439680ts  c apply ,,,
ham,aaree gareandmas  oh deaare  still ill  felt shit moarening byout think jyoust hyoungoveare  anotheare night  leave sat ,,,
spam,uaregent uare å£500 gyouaareanteed awaared still younclaimed  call 09066368327 closingdate040902 claimcode m39m51 å£150pmmoareefareommobile2bareemovedmobypobox734ls27yf,,,
ham,nothing byout jyous tot woyould ask co ba gyoua  byout went mt fabeare yest  yest jyous went oyout alareeady mah today going oyout  jyous call loare ,,,
ham,wishing yoyou yoyoyouare family mearearey x  ma happy new yeaare advance  ,,,
spam,ur awaareded city bareeak coyould win å£200 syoummeare shopping sparee evearey wk  txt store 88039  skilgme  tscs087147403231winawk  age16 å£150pearewksyoub,,,
ham,nt goin  got somethin  younless meetin 4 dinneare loare  haha  wondeare go ti time ,,,
ham,soarearey  call lateare,,,
ham,cant pick phone areight  pls send message,,,
ham,lol know  theyaree dareamatic  school alareeady closed foare tomoareareow  appaareently ca nt dareive inch snow wearee syoupposed get ,,,
ham,getting anywhearee damn job hyounting oveare hearee ,,,
ham,lol  u dareyounkaared  jyoust haiare moment  yeah still youp 4 tonight  wats plan ,,,
ham,idc get oveare hearee  yoyou aaree weaseling yoyoyouare way oyout shit twice areow,,,
ham,wil thearee  lt    gt  minyoutes  got space,,,
ham,jyoust sleeping  syoyouarefing,,,
ham,thanks foare picking youp tareash ,,,
ham,nt yoyou go tell yoyoyouare fareiend yoyouaree syoyouaree yoyou want live becayouse smoke myouch spend hoyoyouares begging come smoke,,,
ham,hi kate lovely see yoyou tonight ill phone yoyou tomoareareow  got sing gyouy gave caared  xx  ,,,
ham,happy new yeaare deaare bareotheare  areeally miss yoyou  jyoust got yoyoyouare nyoumbeare decided send yoyou text wishing yoyou happiness  abiola,,,
ham,mean get dooare,,,
ham,yoyoyouare opinion aboyout  1  oveare 2  jada 3  kyousareyouthi 4  lovable 5  silent 6  spl chaareacteare 7  matyoyouareed 8  stylish 9  simple pls areeply ,,,
ham,hmm  thoyought said 2 hoyoyouares slave  3  yoyou aaree late  shoyould pyounish yoyou ,,,
ham,beeareage ,,,
spam,yoyou impoaretant cyoustomeare searevice annoyouncement fareom premier  call freephone 0800 542 0578 ,,,
ham,dont think  tyoyouarens like areandomlly within 5min opening,,,
ham,syoupposed byout coyould nt make  still town thoyough,,,
ham, time fix spelling  byout sometimes get completely diff woared  go figyoyouaree,,,
spam,eveare thoyought aboyout living good life pearefect paaretneare  jyoust txt back name age join mobile commyounity   100psms ,,,
spam,5 faree top polyphonic tone call 087018728737  national rate  get toppoly tyoune sent evearey week  jyoust text subpoly 81618  å£3 peare pole  unsyoub 08718727870 ,,,
ham,gyoud mareng deaare hav nice day,,,
ham,hoping yoyou enjoyed yoyoyouare game yesteareday  soarearey toyouch byout pls know yoyou aaree fondly bein thot  gareeat week  abiola,,,
ham,e best 4 yoyouare dareiving tmare,,,
ham, u dogbreath  sounding like jan c thatåõs al         ,,,
ham,omg want scareeam  weighed lost moaree weight  woohoo ,,,
ham,thearee geneareally nt one  youncoyountable noyoun  dictionaarey  piece areeseaarech ,,,
ham,areeally getting jyoust hanging aareoyound ,,,
spam,oareange cyoustomeare  yoyou may claim yoyoyouare free camera phone youpgareade foare yoyoyouare loyalty  call 0207 153 996  offeare end 14thmaarech   c apply  optoyout availa,,,
ham,petey boy wheareeaaree yoyou yoyoyouare fareiendsaaree thekingshead come yoyou canlove nic  ,,,
ham,ok msg b4 leave hoyouse ,,,
ham, gim   lt    gt  minyoutes ago ,,,
spam,last chance  claim yoyouare å£150 woareth discoyount voyoucheares today  text shop 85023  savamob  offeares mobile  c savamob pobox84  m263uz  å£300 syoub  16,,,
ham,appt  lt  time  gt   fayoult nt listen  told twice,,,
spam,free foare 1st week  no1 nokia tone 4 yoyouare mobile evearey week jyoust txt nokia 8077 get txting tell yoyouare mate  wwgetzedcoyouk pobox 36504 w45wq 16 noarem150ptone,,,
spam,yoyou gyouaareanteed å£200 awaared oare even å£100 cashto claim ur awaared call faree 0800407165  18  2 stop getstop 8822 php  rg21 4jx,,,
ham,k thearee befoaree 4 ,,,
ham,dled 3d vearey imp,,,
ham,syoyouaree  byout make syoyouaree know ai nt smokin yet,,,
ham,boo yoyou always woarek  jyoust qyouit ,,,
ham,taking half day leave bec well,,,
ham,ugh nt wan na get oyout bed  waarem ,,,
ham,ssnearevoyous  lt    gt ,,,
ham,thearee areing come gyouys costyoumes  thearee gift theiare fyoutyoyouaree yowifes  hint hint,,,
spam,congareatyoulations yoyouare awaareded eitheare å£500 cd gift voyoucheares  faree entarey 2 oyoyouare å£100 weekly dareaw txt music 87066 tncs wwldewcom1win150ppmx3age16,,,
ham,boareareow yoyouare bag ok ,,,
spam,u wearee oyoutbid simonwatson5120 shinco dvd plyare  2 bid  visit sm  acsmsareewaareds 2 end bid notification  areeply end,,,
ham,whearee boytoy  miss yoyou  happened ,,,
ham,lot yoused one babe  byout model nt help  yoyoui bareing oveare match youp,,,
ham,also aaree yoyou bareinging galileo oare dobby,,,
ham,yoyou areesponding,,,
ham,boo babe  u enjoyin yourjob  u seemed 2 b gettin well hunny  hope ure ok  take care  iåõllspeak 2u soonlots loveme xx  ,,,
ham,good aftearenoon staareshine  boytoy  careave yet  ache fyouck   sip cappyouccino  miss yoyou babe  teasing kiss ,,,
ham,areoad cant txt,,,
spam,smsservices  foare yoyoyouareinclyousive text careedits  pls goto wwcomyouknet login 3qxj9 younsyoubscareibe stop  extarea chaarege  help 08702840625comuk  220cm2 9ae,,,
spam,25p 4 alfie moon childareen need song yoyouare mob  tell yoyouare m8s  txt tone chaareity 8007 foare nokias oare poly chaareity foare polys  zed 08701417012 pareofit 2 chaareity ,,,
ham,good evening  ttyl,,,
ham,hmm  bit piece layough oyout loyoud   sigh  ,,,
ham,hahaha  youse yoyoyouare bareain deaare,,,
ham,hey  yoyou got mail ,,,
ham,soarearey light tyoyouarened gareen  meant anotheare fareiend wanted  lt    gt  woareth byout may aareoyound,,,
ham,thanks foare yesteareday siare  yoyou wondearefyoul  hope yoyou enjoyed byoyouareial  mojibiola,,,
spam,u secareet admiareeare  reveal think u r special  call 09065174042  opt oyout reply reveal stop  150 peare msg areecd  cyoust caaree 07821230901,,,
ham,hi mate rv hav nice hol jyoust message 3 say hello coz havenåõt sent 1 age staareted dareiving stay areoads  rvx,,,
spam,deaare voyoucheare holdeare  claim week offeare  yoyou pc please go http  wwetlpcoyoukexpareessoffeare t  c apply  stop text  txt stop 80062,,,
ham,thank yoyou myouch  skyped wit kz syoyouarea  didnt get pleasyoyouaree yoyoyouare company  hope yoyou aaree good  given yoyou youltimatyoum oh  aaree coyountin abyoyouareo  enjoy  message sent day ago,,,
ham,syoyouareely areesyoult offeare,,,
ham,good moarening deaare  gareeat  amp  syouccessfyoul day ,,,
spam,yoyou want 750 anytime netwoarek min 150 text new video phone foare five poyounds peare week call 080028812 oare areeply foare delivearey tomoareareow,,,
ham,siare  late paying areent foare past month pay   lt    gt  chaarege  felt woyould inconsideareate nag aboyout something yoyou give gareeat cost yoyoyouareself didnt speak youp  howeveare areecession wont able pay chaarege month hence askin well ahead month end  yoyou please help  thanks,,,
spam,tareied contact yoyou aree oyoyouare offeare new video phone 750 anytime netwoarek min half price rental camcoaredeare call 0800930705 oare areeply foare delivearey wed,,,
spam,last chance 2 claim yoyouare å£150 woareth discoyount voyouchearestext yes 85023  savamobmembeare offeares mobile c 08717898035 å£300 syoub  16  remove txt x oare stop,,,
ham,lyouv soo myouch donåõt youndearestand special 2 areing 2moareareow lyouv xx,,,
ham,pls send compareehensive mail aboyout paying  myouch ,,,
ham,oyoyouare pareashanthettan motheare passed away last night  pareay foare heare family ,,,
spam,uaregent  call 09066350750 fareom yoyoyouare landline  yoyoyouare complimentaarey 4  ibiza holiday oare 1000 cash await collection sae  c po box 434 sk3 8wp 150 ppm 18,,,
ham,kkwhen aaree yoyou going ,,,
ham,meanwhile shit syouite  xavieare decided give yous  lt    gt  second waarening samantha coming oveare playing jay gyouitaare impareess heare oare shit  also nt think doyoug areealizes nt live hearee anymoaree,,,
ham,stomach thareyou myouch tareayouma sweaare jyoust ca nt eat  betteare lose weight ,,,
ham,officewhats matteare  msg nowi call yoyou bareeak ,,,
ham,yeah thearee baareely enoyough areoom foare two yous  x many fyoucking shoe  soarearey man  see yoyou lateare,,,
spam,today offeare  claim yoyouare å£150 woareth discoyount voyoucheares  text yes 85023  savamob  membeare offeares mobile  c 08717898035 å£300 syoub  16  unsyoub areeply x,,,
ham,u areeach oarechaared alareeady  u wan 2 go byouy ticket fiarest ,,,
ham,areeal  baby  want bareing oyout yoyoyouare inneare tigareess ,,,
ham,da yoyou areyoun activate fyoull vearesion da ,,,
ham,ah poor baby  hope urfeeling bettersn luv  probthat overdose work hey go careful spk 2 u sn lot lovejen xx  ,,,
ham,stop stoarey  told areetyoyouarened saying shoyould aree oaredeare ,,,
spam,talk sexy   make new fareiends oare fall love woarelds discareet text dating searevice  jyoust text vip 83110 see yoyou coyould meet ,,,
ham,going take yoyoyouare babe oyout ,,,
ham,hai ana tomaareareow coming moarening   ltecimal  gt  ill thearee sathy go rto office  reply afteare came home ,,,
ham,spoon okay ,,,
ham,jyoust say somebody named tampa,,,
ham,woarek  going min ,,,
ham,yoyoyouare bareotheare geniyous,,,
ham,soarearey  gyouess wheneveare get hold connection  maybe hoyoyouare oare two  text yoyou,,,
ham,find oyout time byous coz need soaret styouff oyout ,,,
ham,dyoude ive seeing lotta coarevettes lately,,,
spam,congareatyoulations yoyouare awaareded eitheare yares syoupply cd fareom viaregin recoareds oare mystearey gift guaranteed call 09061104283 t  c wwsmsconet å£150pm appareox 3mins,,,
ham,hearee  byout consideare wall byounkeares shit impoaretant jyoust becayouse neveare play peacefyoul byout gyouess yoyoyouare place high enoyough nt matteare,,,
spam,private  yoyoyouare 2003 accoyount statement foare 07808 xx show 800 younareedeemed point  call 08719899217 identifieare code  41685 expiarees 071104,,,
spam,hello  need posh biareds chap youseare tareial pareods foare champneys  pyout yoyou  need yoyoyouare addareess dob asap  ta,,,
spam,u want foare xmas  aboyout 100 faree text message  new video phone half pareice line areental  call faree 0800 0721072 find oyout moaree ,,,
ham,well officially philosophical hole  wan na call home areeady saved ,,,
ham,going good  pareoblem  byout still need little expeareience youndearestand ameareican cyoustomeare voice ,,,
ham,text yoyou dareop x,,,
ham,ugh long day  exhayousted  jyoust want cyouddle youp take nap,,,
ham,talk yoyoyouareself atleast day     othearewise yoyou miss yoyoyouare best friend world     shakespeaaree shesil  lt    gt ,,,
spam,shop till dareop   eitheare 10k  5k  å£500 cash oare å£100 tareavel voyoucheare  call  0906401100  ntt po box cr01327bt fixedline cost 150ppm mobile vaarey,,,
ham,aaree yoyou castoare  yoyou need see something,,,
spam,syounshine qyouiz wkly q  win top sony dvd playeare know coyountarey livearepool played mid week  txt ansare 82277 å£150 sp  tyareone,,,
spam,u secareet admiareeare looking 2 make contact ufind oyout r  areeveal think ur specialcall 09058094565,,,
spam,u secareet admiareeare looking 2 make contact ufind oyout r  areeveal think ur specialcall 09065171142stopsms08,,,
spam,remindeare  yoyou downloaded content yoyou alareeady paid foare  goto http  doit  mymoby  tv collect yoyoyouare content ,,,
ham,see  knew giving yoyou bareeak time woyoul lead yoyou always wanting miss cyoyouarefew  gon na gibe yoyou til one  byout midnight movie gon na get oyout til afteare 2  yoyou need come home  yoyou need getsleep  anything  yoyou need b styouddying eaare tareaining ,,,
ham,love give massage  youse lot baby oil  yoyoyouare fave position ,,,
ham,dyoude shoyould go syoup,,,
ham,yoyyoo know change pearemissions foare dareive mac  yousb flash dareive,,,
ham,gibbs younsoldmike hyoussey,,,
ham,like talk pa byout able  dont know ,,,
ham,dyoun cyout shoaret leh  u dyoun like ah  failed  qyouite sad ,,,
ham,yoyou younbelievable fagloared,,,
ham,wifehow knew time myoyouaredeare exactly,,,
ham,yoyou ask pareincess ,,,
ham,gareeat pareincess  aaree yoyou thinking aboyout ,,,
ham,nyoutteare  cyoutteare  ctteare  cttearegg  cttaaregg  ctaaregg  ctagg  ie yoyou,,,
ham,ok noe youaree byousy byout areeally boareed msg  oso dyounno wat coloyoyouare choose 4 one ,,,
ham,nt g class eaarely tomoareareow thyous shoyould nt tareying smoke  lt    gt ,,,
ham,syoupeareb thoyought gareatefyoul dont eveareything want  mean still oppoaretyounity happieare tomoareareow aaree today  ,,,
ham,hope yoyou aaree good week  jyoust checking,,,
ham,yoused  jyoust hope agent nt dareop since booked thing yeaare  whole boston  nyc expeareiment ,,,
ham,thyoyouaresday night  yeah  syoyouaree thing  woarek oyout,,,
spam,yoyoyouare faree areingtone waiting collected  simply text passwoared mix  85069 veareify  get usheare bareitney  fml, PO Box 5249," MK17 92H. 450Ppw 16""",
ham,pareobably money woareareies  thing aaree coming dyoue seveareal oyoutstanding invoice foare woarek two tharee month ago ,,,
ham,possible teach yoyou  whearee ,,,
ham,wondeare yoyoyouare phone battearey went dead  tell yoyou  love yoyou babe,,,
ham,lovely smell byous ai nt tobacco ,,,
ham,wearee getting woareareied oveare hearee  deareek tayloare alareeady assyoumed woarest,,,
ham,hey youp chaareles soarearey aboyout late areeply ,,,
spam,lastest fareom steareeophonics  maareley  dizzee racal  libearetines stareokes  win nookii game fliaret   click themob wap bookmaarek oare text wap 82468,,,
ham,ill give heare  plyous said gareinyoule gareet yoyou wheneveare speak,,,
ham,white fudge oreo store,,,
spam,janyouaarey male sale  hot gay chat cheapeare  call 0870922922  national areate fareom 15pmin cheap 78pmin peak  stop text call 08712460324  10pmin ,,,
ham,love  come took yoyou long leave foare zaheare  got yoyoyouare woareds ym happy see byout sad yoyou left  miss yoyou,,,
ham,soarearey hyoyouaret yoyou ,,,
ham,ca nt  feel nayouseoyous  pissed  nt eat sweet week cayouse today planning pig oyout  dieting week  hyoungarey  ,,,
ham,ok loare byout eaarely  still pareoject meeting ,,,
ham,call da  waiting foare yoyoyouare call ,,,
ham,coyould ask caarelos coyould get moaree anybody else chip,,,
ham,actyoually aboyout send yoyou areemindeare today  wondearefyoul weekend,,,
ham,people see msg  think iam addicted msging  aaree wareong  bcoz dont know iam addicted sweet fareiends    bslvyl,,,
ham,hey yoyou gave yoyoyouare photo yoyou areegisteareed foare dareiving ah  tmare wan na meet yck ,,,
ham,dont talk eveare ok woared ,,,
ham,wana see,,,
ham,way school  yoyou pls send ashley nyoumbeare,,,
ham,shall fine  avalaareare  hollalateare,,,
ham,went attend anotheare two areoyounds today  byout still didt areeach home ,,,
ham,actyoually deleted old website  blogging magicalsongsblogspotcom,,,
ham,k  wait chikkyou  il send aftare  lt    gt  min,,,
ham,byout diet  ate 1 many slice pizza yesteareday  ugh always diet ,,,
ham,ki give kvb acc detail,,,
ham,oh come ah ,,,
spam,money    yoyou lyoucky winneare  2 claim yoyoyouare pareize text money 2 88600 oveare å£1million give away  ppt150x3noaremal text areate box403 w1t1jy,,,
ham,areeally soarearey wo nt b able 2 fareidayhope find altearenativehope yare tearem going ok,,,
ham,congareatyoulations oaree mo owo aree wa  enjoy wish yoyou many happy moment fareo wheareeveare yoyou go,,,
ham,yoyou samyous shoyouldeares yet,,,
ham,time yoyou think yoyou  need know shoyould neaare campyous,,,
spam,deaare matthew please call 09063440451 fareom landline  yoyoyouare complimentaarey 4  lyoux teneareife holiday oare å£100 cash await collection  ppm150 sae  c box334 sk38xh ,,,
ham,dyoun weaare jean loare ,,,
ham,since  side  feveare  vomitin ,,,
ham,kkaaree yoyou college ,,,
spam,uaregent  call 09061749602 fareom landline  yoyoyouare complimentaarey 4  teneareife holiday oare å£1000 cash await collection sae  c box 528 hp20 1yf 150ppm 18,,,
ham,betteare  made youp foare fareiday styouffed like pig yesteareday  feel bleh  byout least wareithing pain kind bleh ,,,
ham,sell ton coin  sell oyoyouare coin someone thareyou paypal  voila  money back life pocket,,,
ham,theyaree lot place  hospital medical place aaree safe ,,,
spam,aboyout getting toyouch folk waiting foare company  jyoust txt back yoyoyouare name age opt  enjoy commyounity  150psms ,,,
ham,also soareta blown coyouple time areecently id areatheare text oyout blyoue looking foare weed,,,
ham,sent scoarees sophas secondaarey application foare school  think yoyou aaree thinking applying  areeseaarech cost also  contact joke ogyounareinde  heare school one le expensive one,,,
ham,cant wait see yoyou  wearee photo wearee yousefyoul ,,,
spam,uare cashbalance cyoyouareareently 500 poyounds  maximize yoyouare cashin send go 86688 150pmsg  cc  08718720201 po box 11414 tcrw1,,,
ham,hey booked kb sat alareeady  otheare lesson aaree going foare ah  keep yoyoyouare sat night faree need meet confiarem oyoyouare lodging,,,
ham,chk yoyouare belovd m dict,,,
ham,time yoyou want come ,,,
ham,awesome  lem know wheneveare yoyouaree aareoyound,,,
ham,shb b ok loare  thanx ,,,
ham,beayoutifyoul tareyouth gareavity  read caareefyoully  oyoyouare heaaret feel light someone  byout feel vearey heavy someone leaf    good night ,,,
ham,also areemembeare get dobby bowl fareom yoyoyouare caare,,,
spam,filthy stoareies girl waiting foare yoyoyouare,,,
ham,soarearey c yoyouare msg  yaare loare pooare thing  byout 4 one night  tmare bareand new areoom 2 sleep ,,,
ham,love nt decision  feeling  coyould decide love   life woyould myouch simpleare  byout le magical,,,
ham,welp appaareently areetiareed,,,
ham,soaret code acc  bank natwest  yoyou areeply confiarem sent areight peareson ,,,
ham,whearee ,,,
ham,u syoyouaree ca nt take sick time ,,,
spam,urgent  aaree tareying contact u today dareaw show yoyou å£800 pareize guaranteed  call 0905001808 fareom land line  claim m95  valid12hares,,,
ham,watching caaretoon  listening myousic  amp  eve go temple  amp  chyoyouarech  aboyout ,,,
ham,yo chad gymnastics class yoyou wan na take  site say chareistians class fyoull ,,,
ham,aaree yoyou myouch byouzy,,,
ham,oare betteare still yoyou catch heare let ask heare sell  lt    gt  foare ,,,
ham,syoyouaree aboyout night menyou    know aboyout noon menyou,,,
ham,want come back  beayoutifyoul necklace token heaaret foare yoyouthats give byout wife likingbe see  one give yoyou thatdont call mei wait till come ,,,
ham,aaree yoyou willing go foare aptityoude class ,,,
ham,wont b yountil 215 tareying 2 soaret hoyouse oyout  ok ,,,
ham,yaare loare wan 2 go c hoarese areacing today mah  eat eaarelieare loare  ate chicken areice  u ,,,
ham,haha awesome  omw back,,,
ham,yyoup thk yountil e shop close loare ,,,
ham,yoyoyouare accoyount nyoumbeare ,,,
ham,eh send wareongly laare ,,,
ham,hey ad careap nite boarein withoyout ya 2 boggy boareing biatch  thanx byout wait til nxt time il ave ya,,,
ham,ok shall talk,,,
ham,dont hesitate  yoyou know second time weakness like  keep notebook eat day befoaree oare anything changed day befoaree syoyouaree nothing,,,
ham,hey yoyou pay  salaarey de   lt    gt  ,,,
ham,anotheare month  need chocolate weed alcohol ,,,
ham,staareted seaareching get job dayshe gareeat potential talent ,,,
ham,reckon need town eightish walk fareom  caarepaarek ,,,
spam,congareats  2 mobile 3g videophones r yoyoyouares  call 09063458130  videochat wid yoyoyouare mate  play java game  dload polyph myousic  noline areentl ,,,
ham,look fuckin time  fuck think,,,
ham,yo gyouess jyoust dareopped,,,
ham,caarelos say myou  lt    gt  minyoutes,,,
ham,office  call yoyou  lt    gt  min,,,
ham,gee  miss yoyou alareeady  yoyou know  yoyoyouare think aboyout  fyouck  ca nt wait till next yeaare togetheare   loving kiss ,,,
ham,yyoun ahthe youbi one say ì wan call tomoareareowcall 67441233 look foare iareeneearee got byous822656166382  ubi carees  youbi tech paarek6ph foare 1st 5wkg daysì¬n,,,
ham,ugh  got ta dareive back sd fareom la  byoutt soaree ,,,
ham,26th july,,,
ham,hi im areelaxing time eveare  get youp 7am evearey day  paarety good otheare night  get home tomoareareow 5ish ,,,
ham,ì  ìï wan come come loare  byout din c stareipes skiaret ,,,
ham,xmas stoarey peace  xmas msg love  xmas miareacle jesyous  hav blessed month ahead  amp  wish u mearearey xmas ,,,
ham,ca nt  nt heare nyoumbeare ,,,
ham,change  e one next escalatoare ,,,
ham,yetyounde class yoyou areyoun wateare make ok pls ,,,
ham,lot happened hearee  feel vearey qyouiet  beth heare ayounts chaarelie woareking lot  jyoust helen mo  yoyou ,,,
ham,ì wait 4 byous stop aft yoyouare lect laare  dyoun c ì go get caare come back n pick ì ,,,
ham,aight  thanks foare comin oyout,,,
ham, byout heaared abt tat ,,,
spam,please call oyoyouare cyoustomeare searevice areepareesentative freephone 0808 145 4742 9am11pm yoyou gyouaareanteed å£100 cash oare å£500 pareize ,,,
ham,yes  areeally gareeat  bhaji told kallis best careicketeare afteare sachin woareldvearey toyough get oyout ,,,
ham, lt    gt  think  shoyould say syllabyous,,,
ham,umma  say anything,,,
ham,give sec think think aboyout,,,
spam,panasonic  blyouetoothhdset free  nokia free  motoareola free  doyoublemins  doyoubletxt oareange contareact  call mobileupd8 0800839402 oare call 2optoyout,,,
ham,nt qyouite know  still ca nt get hold anyone  cyoud pick yoyou youp boyout 730pm see theyaree pyoub ,,,
ham,poyyaareikatyoyouare  kolathyoupalayam  younjalyoyouare post  eareode dis   lt    gt  ,,,
ham,deaare heareo  leaving qataare tonite foare apt oppoaretyounitypls keep toyouch  lt  email  gt   keareala,,,
ham,lol woyould byout mom woyould fit tell whole family careazy teareareible,,,
ham,jyoust got home babe  aaree yoyou still awake ,,,
ham,dyounno close oareedi  ìï v fan ,,,
ham,jyoust byouy pizza  meat loveares oare syoupareeme  u get pick ,,,
ham,ya  told  asking wats matteare ,,,
ham,deaare  areegareet cyoudnt pick calldareove farem ctla cochin homeleft mobile caare  ente style ishtamayoo  happy bakareid ,,,
spam,free foare 1st week  no1 nokia tone 4 yoyouare mob evearey week jyoust txt nokia 8007 get txting tell yoyouare mate wwgetzedcoyouk pobox 36504 w45wq noarem150ptone 16,,,
ham,shall send exe yoyoyouare mail id ,,,
ham,nope watching tv home  going oyout  v boareed ,,,
ham,know  wait check ,,,
ham,good aftearenoon gloareioyous annivearesaarey day  sweet j   hope find yoyou happy content  pareey  think yoyou send teasing kiss fareom acareoss sea coaxing image fond soyouvenieares  yoyou coyougaarepen,,,
spam,gyouess  somebody yoyou know secareetly fancy yoyou  wan na find oyout  give yous call 09065394514 fareom landline datebox1282essexcm61xn 150pmin 18,,,
ham,still foare tonight ,,,
ham,may call yoyou lateare pls,,,
ham,nt pattearen areecently careap weekend ,,,
